SMILES,canonical_smiles,Activity Comment,Protein Target Name
O=S(=O)([O-])c1ccc(O)cc1.[Na+],Oc1ccc(cc1)S(=O)(=O)[O-].[Na+],0,NRF2
C[N+](C)(C)CC(O)CCl.[Cl-],ClCC(C[N+](C)(C)C)O.[Cl-],0,NRF2
Nc1cc(S(=O)(=O)[O-])cc2cc(S(=O)(=O)O)cc(O)c12.[Na+],Nc1cc(cc2c1c(O)cc(c2)S(=O)(=O)O)S(=O)(=O)[O-].[Na+],0,NRF2
C=C(C)C(=O)OCCC[Si](Cl)(Cl)Cl,O=C(C(=C)C)OCCC[Si](Cl)(Cl)Cl,0,NRF2
C=CCOCC(O)CS(=O)(=O)[O-].[Na+],C=CCOCC(CS(=O)(=O)[O-])O.[Na+],0,NRF2
C[N+](C)(C)C.[OH-],C[N+](C)(C)C.[OH-],0,NRF2
CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O,0,NRF2
Nc1ccc(S(=O)(=O)[O-])cc1.[Na+],Nc1ccc(cc1)S(=O)(=O)[O-].[Na+],0,NRF2
C=C[Si](OC)(OC)OC,CO[Si](C=C)(OC)OC,0,NRF2
Nc1c(S(=O)(=O)[O-])cc(Br)c2c1C(=O)c1ccccc1C2=O.[Na+],Brc1cc(c(c2c1C(=O)c1ccccc1C2=O)N)S(=O)(=O)[O-].[Na+],1,NRF2
CCO[Si](CCCSSSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,CCO[Si](OCC)(OCC)CCCSSSSCCC[Si](OCC)(OCC)OCC,0,NRF2
C=COCC(C)C,C=COCC(C)C,0,NRF2
F[B-](F)(F)F.[H+],F[B-](F)(F)F.[H+],1,NRF2
Cl.Cl.Nc1ccc(-c2ccc(N)cc2)cc1,Nc1ccc(cc1)c1ccc(cc1)N.Cl.Cl,0,NRF2
[Ca+2].[Cl-].[Cl-],[Cl-].[Cl-].[Ca+2],0,NRF2
Nc1ccc(N=Nc2ccc(N)cc2)cc1,Nc1ccc(cc1)N=Nc1ccc(cc1)N,1,NRF2
S=C([S-])NCCNC(=S)[S-].[Na+].[Na+],[S-]C(=S)NCCNC(=S)[S-].[Na+].[Na+],1,NRF2
C1CCCNCCC1,C1CCCCNCC1,0,NRF2
S=c1nc[nH]c2nc[nH]c12,S=c1nc[nH]c2c1[nH]cn2,1,NRF2
CCCCN(CCCC)C(=S)[S-].CCCCN(CCCC)C(=S)[S-].[Ni+2],CCCCN(C(=S)[S-])CCCC.CCCCN(C(=S)[S-])CCCC.[Ni+2],0,NRF2
O=[N+]([O-])[O-].[Na+],[O-][N+](=O)[O-].[Na+],0,NRF2
O=[Se]=O,O=[Se]=O,1,NRF2
CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,FC(S(=O)(=O)[O-])(F)F.CCCC[N+]1(C)CCCC1,0,NRF2
BrCC1CO1,BrCC1CO1,0,NRF2
C=C(C)C(=O)OC(C)C,CC(OC(=O)C(=C)C)C,0,NRF2
C=CCSSCCC,CCCSSCC=C,0,NRF2
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,0,NRF2
CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,CCOP(=O)(OCC)[O-].CCCC[P+](CCCC)(CCCC)CC,0,NRF2
CCCCCCCCCCn1cc[n+](C)c1.[Cl-],CCCCCCCCCCn1cc[n+](c1)C.[Cl-],1,NRF2
CCCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F.CCCCCCCCCCn1cc[n+](c1)C,1,NRF2
CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCn1cc[n+](c1C)C,0,NRF2
CCCCCCCCCCCCn1cc[n+](C)c1.[Br-],CCCCCCCCCCCCn1cc[n+](c1)C.[Br-],0,NRF2
CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCn1cc[n+](c1C)C,0,NRF2
Br.CCN1C=CN(C)C1C,CCN1C=CN(C1C)C.Br,0,NRF2
CCn1cc[n+](C)c1C.F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F.CCn1cc[n+](c1C)C,0,NRF2
CCn1cc[n+](C)c1.[Br-],CCn1cc[n+](c1)C.[Br-],0,NRF2
CCn1cc[n+](C)c1C.F[B-](F)(F)F,F[B-](F)(F)F.CCn1cc[n+](c1C)C,0,NRF2
CCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F,FC(S(=O)(=O)[O-])(F)F.CCn1cc[n+](c1C)C,0,NRF2
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,CCn1cc[n+](c1)C.CCOS(=O)(=O)[O-],0,NRF2
CCn1cc[n+](C)c1.CS(=O)(=O)[O-],[O-]S(=O)(=O)C.CCn1cc[n+](c1)C,0,NRF2
CCn1cc[n+](C)c1.COS(=O)(=O)[O-],COS(=O)(=O)[O-].CCn1cc[n+](c1)C,0,NRF2
CCn1cc[n+](C)c1.O=S(=O)([O-])O,[O-]S(=O)(=O)O.CCn1cc[n+](c1)C,0,NRF2
CCn1cc[n+](C)c1.[I-],CCn1cc[n+](c1)C.[I-],0,NRF2
CCn1cc[n+](C)c1.F[B-](F)(F)F,F[B-](F)(F)F.CCn1cc[n+](c1)C,0,NRF2
CCn1cc[n+](C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,Cc1ccc(cc1)S(=O)(=O)[O-].CCn1cc[n+](c1)C,0,NRF2
CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCn1cc[n+](c1)C,0,NRF2
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCCCCn1cc[n+](c1)C,1,NRF2
C[n+]1ccn(CCO)c1.F[B-](F)(F)F,F[B-](F)(F)F.OCCn1cc[n+](c1)C,0,NRF2
Br.CCCN1C=CN(C)C1,CCCN1C=CN(C1)C.Br,0,NRF2
CCCn1cc[n+](C)c1.F[B-](F)(F)F,F[B-](F)(F)F.CCCn1cc[n+](c1)C,0,NRF2
CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F.CCCn1cc[n+](c1)C,0,NRF2
CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCC[N+]1(C)CCCCC1,0,NRF2
CCCC[N+]1(C)CCCCC1.F[B-](F)(F)F,F[B-](F)(F)F.CCCC[N+]1(C)CCCCC1,0,NRF2
CCCC[N+]1(C)CCCCC1.[Br-],CCCC[N+]1(C)CCCCC1.[Br-],0,NRF2
CCCC[N+]1(C)CCCCC1.O=S(=O)([O-])C(F)(F)F,FC(S(=O)(=O)[O-])(F)F.CCCC[N+]1(C)CCCCC1,0,NRF2
CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F.CCCC[N+]1(C)CCCCC1,0,NRF2
CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCC[N+]1(C)CCCCC1,0,NRF2
CCCC[N+]1(C)CCCCC1.[I-],CCCC[N+]1(C)CCCCC1.[I-],0,NRF2
CCC[N+]1(C)CCCCC1.[Br-],CCC[N+]1(C)CCCCC1.[Br-],0,NRF2
CCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F.CCC[N+]1(C)CCCCC1,0,NRF2
CCC[N+]1(C)CCCCC1.[I-],CCC[N+]1(C)CCCCC1.[I-],0,NRF2
CCC[N+]1(C)CCCCC1.F[B-](F)(F)F,F[B-](F)(F)F.CCC[N+]1(C)CCCCC1,0,NRF2
CCCCCCCCCCCCCCC(=O)NC(CO)CCCCCCCCCCCCCC,CCCCCCCCCCCCCCC(NC(=O)CCCCCCCCCCCCCC)CO,0,NRF2
CCCC[n+]1cccc(C)c1.[Br-],CCCC[n+]1cccc(c1)C.[Br-],1,NRF2
CCCC[n+]1cccc(C)c1.[Cl-],CCCC[n+]1cccc(c1)C.[Cl-],0,NRF2
CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F.CCCC[n+]1cccc(c1)C,0,NRF2
CCCC[n+]1ccc(C)cc1.[Br-],CCCC[n+]1ccc(cc1)C.[Br-],1,NRF2
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,F[B-](F)(F)F.CCCC[n+]1cccc(c1)C,0,NRF2
CCCC[n+]1ccc(C)cc1.F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F.CCCC[n+]1ccc(cc1)C,1,NRF2
CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,FC(S(=O)(=O)[O-])(F)F.CCCC[n+]1cccc(c1)C,0,NRF2
CCCC[n+]1ccc(C)cc1.O=S(=O)([O-])C(F)(F)F,FC(S(=O)(=O)[O-])(F)F.CCCC[n+]1ccc(cc1)C,0,NRF2
CCCC[n+]1ccccc1.[I-],CCCC[n+]1ccccc1.[I-],0,NRF2
CCCC[n+]1ccccc1.F[B-](F)(F)F,F[B-](F)(F)F.CCCC[n+]1ccccc1,0,NRF2
CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,FC(S(=O)(=O)[O-])(F)F.CCCC[n+]1ccccc1,0,NRF2
CC[n+]1ccccc1.[Br-],CC[n+]1ccccc1.[Br-],1,NRF2
CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,FC(S(=O)(=O)[O-])(F)F.CC[n+]1ccccc1,0,NRF2
CC[n+]1ccccc1.[I-],CC[n+]1ccccc1.[I-],0,NRF2
CC[n+]1ccccc1.F[B-](F)(F)F,F[B-](F)(F)F.CC[n+]1ccccc1,0,NRF2
CCCCCC[n+]1ccccc1.[I-],CCCCCC[n+]1ccccc1.[I-],1,NRF2
CCCCCC[n+]1ccccc1.F[B-](F)(F)F,F[B-](F)(F)F.CCCCCC[n+]1ccccc1,0,NRF2
CCCCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,FC(S(=O)(=O)[O-])(F)F.CCCCCC[n+]1ccccc1,1,NRF2
CCCC[N+]1(C)CCCC1.[Br-],CCCC[N+]1(C)CCCC1.[Br-],0,NRF2
CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,F[B-](F)(F)F.CCCC[N+]1(C)CCCC1,0,NRF2
CC[N+]1(C)CCCC1.[Br-],CC[N+]1(C)CCCC1.[Br-],0,NRF2
CC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,FC(S(=O)(=O)[O-])(F)F.CC[N+]1(C)CCCC1,0,NRF2
CCC[N+]1(C)CCCC1.[Br-],CCC[N+]1(C)CCCC1.[Br-],0,NRF2
CCC[N+]1(C)CCCC1.[Cl-],CCC[N+]1(C)CCCC1.[Cl-],0,NRF2
CCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F.CCC[N+]1(C)CCCC1,0,NRF2
CCC[N+]1(C)CCCC1.[I-],CCC[N+]1(C)CCCC1.[I-],0,NRF2
CCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,FC(S(=O)(=O)[O-])(F)F.CCC[N+]1(C)CCCC1,0,NRF2
CCCCCC(=Cc1ccccc1)CO,CCCCCC(=Cc1ccccc1)CO,0,NRF2
BrCCCBr,BrCCCBr,0,NRF2
CCCCCBr,CCCCCBr,0,NRF2
BrCCCCCBr,BrCCCCCBr,0,NRF2
CCCCCCBr,CCCCCCBr,0,NRF2
CCCCCCCCCCCCCCBr,CCCCCCCCCCCCCCBr,0,NRF2
CCCCCCCCCCCCCCCCBr,CCCCCCCCCCCCCCCCBr,0,NRF2
CN1C2CCC1CC(O)C2,OC1CC2CCC(C1)N2C,0,NRF2
O=S(=O)([O-])[O-].[NH3+]O.[NH3+]O,[O-]S(=O)(=O)[O-].O[NH3+].O[NH3+],0,NRF2
[C-]#N.[Cu+],[C-]#N.[Cu+],0,NRF2
C1CCCCCCCCCCC1,C1CCCCCCCCCCC1,0,NRF2
CCC(=O)[O-].[Na+],[O-]C(=O)CC.[Na+],0,NRF2
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,OC(=O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,0,NRF2
CC(=O)[O-].[K+],[O-]C(=O)C.[K+],0,NRF2
CC(=O)[O-].[Na+],[O-]C(=O)C.[Na+],0,NRF2
CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Ca+2],CCCCC(C(=O)[O-])CC.CCCCC(C(=O)[O-])CC.[Ca+2],0,NRF2
O=C(O)CNCC(=O)O,OC(=O)CNCC(=O)O,0,NRF2
CCCCCCCCC=CCCCCCCCC(=O)OCCCC,CCCCCCCCC=CCCCCCCCC(=O)OCCCC,0,NRF2
O=C(O)C(O)C(O)C(O)C(O)CO,OCC(C(C(C(C(=O)O)O)O)O)O,0,NRF2
O=C([O-])C(=O)[O-].[Ca+2],[O-]C(=O)C(=O)[O-].[Ca+2],0,NRF2
O=C([O-])c1ccccc1.[K+],[O-]C(=O)c1ccccc1.[K+],0,NRF2
CCCCCCCCCCCCCCCCCl,CCCCCCCCCCCCCCCCCl,0,NRF2
O=C([O-])CS.[NH4+],[O-]C(=O)CS.[NH4+],0,NRF2
COC(=O)C1CC(=O)C(C(=O)OC)CC1=O,COC(=O)C1CC(=O)C(CC1=O)C(=O)OC,0,NRF2
O=P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O,OP(=O)(CN(CP(=O)(O)O)CP(=O)(O)O)O,0,NRF2
CCCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCCC,CCCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCCC,0,NRF2
CC(C)(N)C#N,N#CC(N)(C)C,0,NRF2
CC=CC=CC(=O)[O-].[K+],CC=CC=CC(=O)[O-].[K+],0,NRF2
CC(C)c1ccccc1C(C)C,CC(c1ccccc1C(C)C)C,0,NRF2
CCCCCCCCCCCCCCCCC=CC1CC(=O)OC1=O,CCCCCCCCCCCCCCCCC=CC1CC(=O)OC1=O,0,NRF2
C=C(C)C(=O)OCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCOC(=O)C(=C)C,0,NRF2
CC(C)c1ccc(OP(=O)(Oc2ccc(C(C)C)cc2)Oc2ccc(C(C)C)cc2)cc1,CC(c1ccc(cc1)OP(=O)(Oc1ccc(cc1)C(C)C)Oc1ccc(cc1)C(C)C)C,0,NRF2
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F,0,NRF2
CCCCCCCCCCCCCCCC(=O)OC,CCCCCCCCCCCCCCCC(=O)OC,0,NRF2
COC(=O)c1ccc2cc(C(=O)OC)ccc2c1,COC(=O)c1ccc2c(c1)ccc(c2)C(=O)OC,0,NRF2
C1CC2C3CCC(C3)C2C1,C1CC2C(C1)C1CC2CC1,0,NRF2
CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Sb+3],[O-]C(=O)C.[O-]C(=O)C.[O-]C(=O)C.[Sb+3],0,NRF2
CCCCCCCCCCCCCCCCCCOCCO,CCCCCCCCCCCCCCCCCCOCCO,0,NRF2
CC(C)(C)CC(C)(C)c1ccc(Nc2ccc(C(C)(C)CC(C)(C)C)cc2)cc1,CC(c1ccc(cc1)Nc1ccc(cc1)C(CC(C)(C)C)(C)C)(CC(C)(C)C)C,0,NRF2
O=C([O-])C(O)C(O)C(O)C(O)CO.[K+],OCC(C(C(C(C(=O)[O-])O)O)O)O.[K+],0,NRF2
O=C[O-].[K+],[O-]C=O.[K+],0,NRF2
O=C([O-])[O-].[Sr+2],[O-]C(=O)[O-].[Sr+2],0,NRF2
O=S([O-])([O-])=S.[NH4+].[NH4+],[O-]S(=S)(=O)[O-].[NH4+].[NH4+],0,NRF2
O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[NH4+].[NH4+],[O-]C(=O)CC(C(=O)[O-])(CC(=O)O)O.[NH4+].[NH4+],0,NRF2
Cl.O=[Bi],O=[Bi].Cl,0,NRF2
CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Cu+2],CN(C(=S)[S-])C.CN(C(=S)[S-])C.[Cu+2],1,NRF2
O=S(=O)([O-])NC1CCCCC1.[Na+],[O-]S(=O)(=O)NC1CCCCC1.[Na+],0,NRF2
O=NN1CCN(N=O)CC1,O=NN1CCN(CC1)N=O,0,NRF2
CN(C)c1nc(N(C)C)nc(N(C)C)n1,CN(c1nc(nc(n1)N(C)C)N(C)C)C,0,NRF2
O=[Mo](=O)=O,O=[Mo](=O)=O,0,NRF2
O=NN1CCNCC1,O=NN1CCNCC1,0,NRF2
CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,CCn1cc(C(=O)O)c(=O)c2c1cc1OCOc1c2,0,NRF2
Cc1cc(C)c(N=Nc2c(O)c(S(=O)(=O)[O-])cc3cc(S(=O)(=O)[O-])ccc23)cc1C.[Na+].[Na+],Cc1cc(C)c(cc1N=Nc1c2ccc(cc2cc(c1O)S(=O)(=O)[O-])S(=O)(=O)[O-])C.[Na+].[Na+],0,NRF2
O=S(=O)([O-])c1ccc2c(N=Nc3ccc(S(=O)(=O)[O-])c4ccccc34)c(O)c(S(=O)(=O)[O-])cc2c1.[Na+].[Na+].[Na+],Oc1c(N=Nc2ccc(c3c2cccc3)S(=O)(=O)[O-])c2ccc(cc2cc1S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],0,NRF2
CCCCCCCCCCCCCC=O,CCCCCCCCCCCCCC=O,0,NRF2
COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,COc1ccc(cc1)C(=O)CC(=O)c1ccc(cc1)C(C)(C)C,0,NRF2
Br.CCCCN1C=CN(C)C1,CCCCN1C=CN(C1)C.Br,0,NRF2
CCn1cc[n+](C)c1.O=[N+]([O-])[O-],[O-][N+](=O)[O-].CCn1cc[n+](c1)C,0,NRF2
O=S(=O)([O-])[O-].[Li+].[Li+],[O-]S(=O)(=O)[O-].[Li+].[Li+],0,NRF2
O=CC=C(c1ccccc1)c1ccccc1,O=CC=C(c1ccccc1)c1ccccc1,1,NRF2
CC(=O)C(=O)CC(C)C,CC(CC(=O)C(=O)C)C,0,NRF2
F[B-](F)(F)F.[K+],F[B-](F)(F)F.[K+],0,NRF2
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],CCCCCCCCCCCC[N+](CCCS(=O)(=O)[O-])(C)C,0,NRF2
CCOC=C1N=C(c2ccccc2)OC1=O,CCOC=C1N=C(OC1=O)c1ccccc1,0,NRF2
NC(CCC(=O)O)C(=O)O.O,OC(=O)CCC(C(=O)O)N.O,0,NRF2
N#C[N-]C#N.[Na+],N#C[N-]C#N.[Na+],0,NRF2
OCCCCCCCl,OCCCCCCCl,0,NRF2
CC(C)(C)OC(=O)N1CC(F)CC1C(=O)O,FC1CC(N(C1)C(=O)OC(C)(C)C)C(=O)O,0,NRF2
C=C(C)C(=O)OCCOCC,CCOCCOC(=O)C(=C)C,0,NRF2
COC(=O)c1ccc(CBr)cc1,BrCc1ccc(cc1)C(=O)OC,0,NRF2
CCCCCCCCCCl,CCCCCCCCCCl,0,NRF2
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O.O=S(=O)(O)O,OS(=O)(=O)O.OCC1OC(OC2C(N)CC(C(C2O)OC2OC(CN)C(C(C2O)O)O)N)C(C(C1O)N)O,0,NRF2
O=c1c(O)c(O)c1=O,OC1=C(O)C(=O)C1=O,0,NRF2
O=C(CC(=O)C(F)(F)F)c1ccccc1,O=C(c1ccccc1)CC(=O)C(F)(F)F,0,NRF2
CCC(=O)c1cccc(Cl)c1,CCC(=O)c1cccc(c1)Cl,0,NRF2
O=[N+]([O-])c1ccc(F)c(Cl)c1,[O-][N+](=O)c1ccc(c(c1)Cl)F,0,NRF2
CCCCCCCCCCCCCCCCCBr,CCCCCCCCCCCCCCCCCBr,0,NRF2
O=C(C(=O)c1ccc(Br)cc1)c1ccc(Br)cc1,O=C(C(=O)c1ccc(cc1)Br)c1ccc(cc1)Br,0,NRF2
CC(CC(=O)Cl)CC(C)(C)C,CC(CC(C)(C)C)CC(=O)Cl,0,NRF2
Nc1ccc(F)cc1,Nc1ccc(cc1)F,0,NRF2
CCC(N)c1ccccc1,CCC(c1ccccc1)N,0,NRF2
Clc1ccnc(Cl)n1,Clc1ccnc(n1)Cl,0,NRF2
CCOC(=O)C(C)(C)C,CCOC(=O)C(C)(C)C,0,NRF2
CCCCCCCCCI,CCCCCCCCCI,0,NRF2
CCCCCCCCCCCCI,CCCCCCCCCCCCI,0,NRF2
c1ccc2c(c1)CCc1ccccc1N2,c1ccc2c(c1)Nc1ccccc1CC2,0,NRF2
CC=C(C)C=O,CC=C(C=O)C,0,NRF2
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O.O=P(O)(O)O,OP(=O)(O)O.OP(=O)(O)O.CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,0,NRF2
CNCC(O)c1ccc(O)c(O)c1.O=C(O)C(O)C(O)C(=O)O,OC(C(C(=O)O)O)C(=O)O.CNCC(c1ccc(c(c1)O)O)O,0,NRF2
CCOC(=O)c1ccc(I)cc1,CCOC(=O)c1ccc(cc1)I,0,NRF2
Cc1nc2ccccc2c(=O)o1,Cc1nc2ccccc2c(=O)o1,0,NRF2
Nc1nc(N)c(N)c(N)n1.O=S(=O)(O)O,OS(=O)(=O)O.Nc1nc(N)c(c(n1)N)N,0,NRF2
CCCCCCCCCCCCCCCCI,CCCCCCCCCCCCCCCCI,0,NRF2
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2.CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2.O=S(=O)(O)O,OS(=O)(=O)O.OCC(c1ccccc1)C(=O)OC1CC2CCC(C1)N2C.OCC(c1ccccc1)C(=O)OC1CC2CCC(C1)N2C,0,NRF2
CCC(C)(C)CC,CCC(CC)(C)C,0,NRF2
BrCCOc1ccccc1,BrCCOc1ccccc1,0,NRF2
CCCC(C)CC,CCCC(CC)C,0,NRF2
C[N+](C)(C)CC(=O)[O-].O,[O-]C(=O)C[N+](C)(C)C.O,0,NRF2
C=CCCC=C,C=CCCC=C,0,NRF2
COC(=O)C(C)=O,COC(=O)C(=O)C,0,NRF2
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,Oc1ccc(cc1)CCC(=O)c1c(O)cc(cc1O)O,1,NRF2
CCN(CC)CCNC(=O)c1ccc(N)cc1.Cl,CCN(CCNC(=O)c1ccc(cc1)N)CC.Cl,0,NRF2
CCCOC(=O)C(C)O,CCCOC(=O)C(O)C,0,NRF2
CCc1cccc(C)c1,CCc1cccc(c1)C,0,NRF2
COc1ccc(C=O)cc1O,O=Cc1ccc(c(c1)O)OC,0,NRF2
COCC(O)CO,COCC(CO)O,0,NRF2
CCOC(=O)CS,CCOC(=O)CS,0,NRF2
CCCCCCCCCCCCCCCBr,CCCCCCCCCCCCCCCBr,0,NRF2
CCCCCCI,CCCCCCI,0,NRF2
O=S(=O)(Cl)c1c(Cl)cccc1Cl,Clc1cccc(c1S(=O)(=O)Cl)Cl,0,NRF2
CCCCCCCCCBr,CCCCCCCCCBr,0,NRF2
CCCCCCCCCCCBr,CCCCCCCCCCCBr,0,NRF2
ClCCCCBr,ClCCCCBr,0,NRF2
CCCCCCCCCCCCCBr,CCCCCCCCCCCCCBr,0,NRF2
C#CC(O)CCCCC,CCCCCC(C#C)O,0,NRF2
CC(=O)C1CCCCC1=O,O=C1CCCCC1C(=O)C,0,NRF2
O=C1Nc2ccccc2C1=O,O=C1C(=O)Nc2c1cccc2,1,NRF2
O=C1CCN(c2ccccc2)N1,O=C1CCN(N1)c1ccccc1,0,NRF2
CC1C(c2ccccc2)NC(=O)N1C,CC1N(C)C(=O)NC1c1ccccc1,0,NRF2
CC(=O)CC(=O)c1ccccc1,O=C(c1ccccc1)CC(=O)C,0,NRF2
O=C(Oc1ccccc1)c1ccccc1,O=C(c1ccccc1)Oc1ccccc1,0,NRF2
OCC(O)CS,OCC(CS)O,0,NRF2
CCC(C=O)CC,CCC(C=O)CC,0,NRF2
COc1ccccc1C=CC=O,O=CC=Cc1ccccc1OC,0,NRF2
O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,[O-][N+](=O)c1cccc2c1c(ccc2)[N+](=O)[O-],1,NRF2
[Cr+2].c1cc[cH-]c1.c1cc[cH-]c1,[cH-]1cccc1.[cH-]1cccc1.[Cr+2],0,NRF2
NC(Cc1ccc(F)cc1)C(=O)O,NC(C(=O)O)Cc1ccc(cc1)F,0,NRF2
Cl[Zr+2]Cl.[C-]1=CC=CC1.c1cc[cH-]c1,[C-]1=CC=CC1.[cH-]1cccc1.Cl[Zr+2]Cl,0,NRF2
Nc1ccc([As](=O)([O-])O)cc1.[Na+],Nc1ccc(cc1)[As](=O)(O)[O-].[Na+],0,NRF2
COc1ccc(Nc2ccc(OC)cc2)cc1,COc1ccc(cc1)Nc1ccc(cc1)OC,0,NRF2
O=CC=Cc1ccco1,O=CC=Cc1ccco1,0,NRF2
C=CC(=O)OCCCl,ClCCOC(=O)C=C,0,NRF2
CCCCCON=O,CCCCCON=O,0,NRF2
Cc1c[nH]c(=S)[nH]c1=O,Cc1c[nH]c(=S)[nH]c1=O,0,NRF2
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(C(O2)C)O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(C(=O)C(C(C1(C)O)O)C)C)(C)OC,0,NRF2
CC(C)(C)OC(=O)c1cccc(N)c1,Nc1cccc(c1)C(=O)OC(C)(C)C,0,NRF2
CCOC(=O)CC(=O)c1cc(F)c(Cl)nc1Cl,CCOC(=O)CC(=O)c1cc(F)c(nc1Cl)Cl,0,NRF2
c1ccc2cnncc2c1,c1ccc2c(c1)cnnc2,0,NRF2
Cc1cc(O)ccc1N,Oc1ccc(c(c1)C)N,1,NRF2
c1cnccn1,n1ccncc1,0,NRF2
COS(=O)(=O)C(F)(F)F,COS(=O)(=O)C(F)(F)F,0,NRF2
Oc1ccccc1F,Oc1ccccc1F,0,NRF2
C1CS1,S1CC1,0,NRF2
