SMILES,canonical_smiles,Activity Comment,Protein Target Name
C=CC(=C)CC[C@H]1[C@]2(C)CCC[C@](C)(CO)[C@H]2[C@H](O)C[C@]1(C)O,C=CC(=C)CC[C@@H]1[C@@](C)(O)C[C@H]([C@H]2[C@@]1(C)CCC[C@]2(C)CO)O,1,NRF2
O=c1oc2ccccc2cc1OC/C(=N\O)c1ccccc1,O/N=C(/c1ccccc1)\COc1cc2ccccc2oc1=O,0,NRF2
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,0,Superoxide dismutase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1ccccc1O,CCOP(=O)(C(/[N+](=C/c1ccccc1O)/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1cccc(O)c1,CCOP(=O)(C(/[N+](=C/c1cccc(c1)O)/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1ccc(O)cc1,CCOP(=O)(C(/[N+](=C/c1ccc(cc1)O)/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1ccc(O)c(O)c1,CCOP(=O)(C(/[N+](=C/c1ccc(c(c1)O)O)/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1cc(O)cc(O)c1,CCOP(=O)(C(/[N+](=C/c1cc(O)cc(c1)O)/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1ccc(O)cc1O,CCOP(=O)(C(/[N+](=C/c1ccc(cc1O)O)/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1cc(O)c(O)c(O)c1,CCOP(=O)(C(/[N+](=C/c1cc(O)c(c(c1)O)O)/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1ccc(O)c(OC)c1,CCOP(=O)(C(/[N+](=C/c1ccc(c(c1)OC)O)/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1cc(OC)c(O)c(OC)c1,CCOP(=O)(C(/[N+](=C/c1cc(OC)c(c(c1)OC)O)/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1ccccc1[N+](=O)[O-],CCOP(=O)(C(/[N+](=C/c1ccccc1[N+](=O)[O-])/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1cccc([N+](=O)[O-])c1,CCOP(=O)(C(/[N+](=C/c1cccc(c1)[N+](=O)[O-])/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1ccc([N+](=O)[O-])cc1,CCOP(=O)(C(/[N+](=C/c1ccc(cc1)[N+](=O)[O-])/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1ccc(NC(C)=O)cc1,CCOP(=O)(C(/[N+](=C/c1ccc(cc1)NC(=O)C)/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1ccc(C(=O)O)cc1,CCOP(=O)(C(/[N+](=C/c1ccc(cc1)C(=O)O)/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOC(=O)c1ccc(/C=[N+](\[O-])C(C)(C)P(=O)(OCC)OCC)cc1,CCOC(=O)c1ccc(cc1)/C=[N+](/C(P(=O)(OCC)OCC)(C)C)\[O-],0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1ccccc1C(F)(F)F,CCOP(=O)(C(/[N+](=C/c1ccccc1C(F)(F)F)/[O-])(C)C)OCC,0,Xanthine dehydrogenase
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1c(C)cccc1C,CCOP(=O)(C(/[N+](=C/c1c(C)cccc1C)/[O-])(C)C)OCC,0,Xanthine dehydrogenase
